Date,S&P 500 ,NASDAQ ,RUSSELL 2000,DOW JONES,FTSE 100,CAC 40,SMI,IBEX 35,FTSE MIB ,ATHEX ,DAX,MEXICO BOLSA ,BRAZIL BOVESPA ,S&P/TSX 60 INDEX,NIFTY 500,NIKKEI 225 ,HANG SENG,SHANGHAI SE A SHARE,S&P/ASX 200,KOREA SE COMPOSITE (KOSPI)
2023-09-19,4161.391516059555,12808.493304616537,1710.3942316696318,32322.998408090643,8888.605244836388,7282.12,10097.336252508667,9527.2,28757.63,1227.78,15664.48,2862.3212753886933,22670.937457917316,844.9395954461581,197.9677030960108,210.52271935657512,2153.054827788345,420.4379655710042,4350.108501828513,1.8051080577812888
2023-09-20,4129.256167338898,12634.02119876184,1697.8707438326608,32305.487290122874,8952.813802686427,7330.79,10175.250866630176,9645.8,29229.3,1200.31,15781.59,2881.3697627340384,22806.063924835,845.5128205128204,197.37667577413916,208.832832706232,2132.6655935133845,419.4849155683691,4331.157264647199,1.8101420681559428
2023-09-21,4061.913696060037,12405.234521575983,1671.5103189493432,31960.99437148217,8857.561425769985,7213.9,10111.96861886517,9548.9,28708.55,1200.04,15571.86,2828.144809434769,22070.74718759501,825.9435767210492,195.26960386186366,207.0170654971875,2117.565006716561,415.1665885765999,4253.709624010356,1.776146387282216
2023-09-22,4054.8714097991374,12400.797822414117,1667.4488455040362,31878.956260559415,8828.021599264706,7184.82,10048.129903302317,9502.0,28575.9,1217.75,15557.29,2817.8161405268943,22059.27038667415,825.3567202617108,195.25443830953918,204.9747596153846,2166.330754003959,422.3642583399779,4274.148804305107,1.7568733757819013
2023-09-25,4095.0151057401813,12529.569486404835,1684.5166163141996,32106.193353474322,8789.474290984552,7123.88,10047.67378215654,9386.0,28382.19,1215.8,15405.49,2787.708511858794,22028.21825920894,833.177783235676,196.15285676342162,207.22673515330226,2144.287416169276,421.77733303205395,4291.909267345948,1.7522220818063106
2023-09-26,4042.3098751418843,12356.80098373061,1666.297767688233,31799.924328414683,8771.244536461929,7074.02,9992.428388980114,9366.9,28098.88,1219.57,15255.87,2755.2473791407315,21644.550167271624,821.3435969209238,196.28837031895114,205.0512389352454,2109.847501132417,420.80096255231615,4258.47768870065,1.7431772499504572
2023-09-27,4070.1866311178824,12467.006284517234,1693.8678346981526,31946.553037516656,8774.231569216548,7071.79,9927.30341178617,9331.9,28012.3,1204.11,15217.45,2771.224188472647,21582.5530468927,822.7223025642835,198.44924802667668,206.00019090648763,2142.2765809928114,424.3045063818703,4252.798378803461,1.7338646146920633
2023-09-28,4071.3000662816016,12500.028406400908,1698.9963071678817,31877.985039295516,8781.15975511147,7116.24,9959.669768290458,9426.8,28163.03,1193.32,15323.5,2778.3903481896928,21765.97925541419,825.5326617290884,195.4951983553103,202.12778640961412,2101.072121809485,422.9137217776971,4273.64319391635,1.7338646146920633
2023-09-29,4056.044267877413,12504.086265607266,1688.5168369277337,31694.570563753314,8779.22917147473,7135.06,10001.368363437328,9428.0,28243.26,1209.34,15386.58,2762.2123768880783,21904.987409328372,816.9854042568016,196.9889890256608,201.73264944275584,2147.825300441995,422.4726815776349,4290.341469352973,1.7338646146920633
2023-10-02,4092.756251192976,12700.67761023096,1676.6749379652604,31908.14086657759,8664.382534463864,7068.16,9910.280970625798,9319.0,27849.65,1191.77,15247.21,2767.9356996870843,21690.432651522293,803.4193998604326,198.39290010209814,202.27290386268828,2166.137791372988,426.26364289915693,4271.087022529908,1.7338646146920633
2023-10-03,4040.747109964651,12476.803286519536,1650.0907614407186,31529.932167765357,8619.083881389177,6997.05,9818.801313628901,9165.5,27482.21,1168.45,15085.21,2662.259906357004,20965.48855780251,795.7626232707252,198.08021869151983,200.25604205397778,2112.4299156550146,426.70984625449785,4180.503341561804,1.7338646146920633
